"filename", "language", "TypeScript", "JSON", "JavaScript", "Properties", "JSON with Comments", "comment", "blank", "total"
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/clients.service.js", "JavaScript", 0, 0, 45, 0, 0, 0, 1, 46
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/consumers.service.js", "JavaScript", 0, 0, 45, 0, 0, 0, 1, 46
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/invoice.service..js", "JavaScript", 0, 0, 47, 0, 0, 0, 1, 48
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/mail.service.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/response.service.js", "JavaScript", 0, 0, 40, 0, 0, 0, 1, 41
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/services.service copy.js", "JavaScript", 0, 0, 34, 0, 0, 0, 1, 35
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/services.service.js", "JavaScript", 0, 0, 45, 0, 0, 0, 1, 46
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/templates.service.js", "JavaScript", 0, 0, 21, 0, 0, 0, 1, 22
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/token.service.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 18
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/transaction.service.js", "JavaScript", 0, 0, 74, 0, 0, 0, 1, 75
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/server.js", "JavaScript", 0, 0, 6, 0, 0, 0, 1, 7
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/lambda.js", "JavaScript", 0, 0, 14, 0, 0, 0, 1, 15
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/package-lock.json", "JSON", 0, 5193, 0, 0, 0, 0, 1, 5194
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/package.json", "JSON", 0, 52, 0, 0, 0, 0, 1, 53
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app.ts", "TypeScript", 25, 0, 0, 0, 0, 3, 18, 46
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/config/auth.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 1, 4
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/config/db.config.ts", "TypeScript", 32, 0, 0, 0, 0, 12, 12, 56
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/controllers/account/account.controller.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 8, 29
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/controllers/authorize/authorize.controller.ts", "TypeScript", 71, 0, 0, 0, 0, 11, 12, 94
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/middleware/auth.middleware.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 9, 47
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/middleware/error-handler.middleware.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 2, 17
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/middleware/validate-request.middleware.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 2, 29
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/migrations/20220819114536-create-check.js", "JavaScript", 0, 0, 27, 0, 0, 0, 1, 28
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/models/account/account.model.ts", "TypeScript", 38, 0, 0, 0, 0, 3, 3, 44
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/models/account/role.model.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 15
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/models/index.models.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 6, 13
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/services/base.service.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 4, 12
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/services/mail.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/services/response.service.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 9, 44
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/services/token.service.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 5, 15
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/templates/school/en.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 3
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/server.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 16, 85, 9, 110
"Total", "-", 347, 5259, 2507, 7, 16, 196, 174, 8506
